fecha_o_bloque,producto_id_temporal,codigo,descripcion,tipo_movimiento,cantidad,hoja_origen,fila_origen,columna_origen
Diciembre TOTAL,H1-R6,ABR-015,ABRASADERA DE CHICOTE DE ACELERADOR DE XT110,entrada,1,Hoja 1 ,6,U
Diciembre TOTAL,H1-R7,ABR-014,ABRASADERA DE CHICOTE DE ACELERADOR DE AT110,entrada,1,Hoja 1 ,7,U
Diciembre TOTAL,H1-R8,ABR-013,ABRASADERA DE CHICOTE DE ACELERADOR DE AT110 DE LETD,entrada,4,Hoja 1 ,8,U
Diciembre TOTAL,H1-R9,A99,ABRASADERA DE CHICOTE DE ACELERADOR DE DS150,entrada,4,Hoja 1 ,9,U
Diciembre 28,H1-R10,A275,ABRAZADERA DE CHICOTE DE ACELERADOR DE DM1200,salida,1,Hoja 1 ,10,R
Diciembre TOTAL,H1-R10,A275,ABRAZADERA DE CHICOTE DE ACELERADOR DE DM1200,entrada,4,Hoja 1 ,10,U
Diciembre TOTAL,H1-R11,ABR-012,ABRASADERA DE CHICOTE DE ACELERADOR DE DM200,entrada,2,Hoja 1 ,11,U
Diciembre TOTAL,H1-R12,ABR-001,ABRASADERA DE CHICOTE DE ACELERADOR DE DS150,entrada,1,Hoja 1 ,12,U
Diciembre TOTAL,H1-R14,24191184,ABRASADERA DE CHICOTE DE CAMBIOS DE CARRO BAJAJ,entrada,1,Hoja 1 ,14,U
Diciembre TOTAL,H1-R15,BOT-0240,ABRASADERA UNIVERSAL CON BOTON,entrada,5,Hoja 1 ,15,U
Diciembre TOTAL,H1-R16,ESC-A001,ABRAZADERAS DE ESCAPE DE MOTONETA,entrada,5,Hoja 1 ,16,U
Diciembre TOTAL,H1-R17,ABR-M00100,ABRAZADERAS DE ESCAPE DE MOTONETA,entrada,4,Hoja 1 ,17,U
Diciembre TOTAL,H1-R18,378RTF-ABR,ABRAZADERAS DE ESCAPE DE MOTONETA,entrada,5,Hoja 1 ,18,U
Diciembre TOTAL,H1-R19,ACI,ACIDO PARA BATERIA,entrada,61,Hoja 1 ,19,U
Diciembre TOTAL,H1-R21,ASI-024,ASIENTO DE 150Z,entrada,1,Hoja 1 ,21,U
Diciembre TOTAL,H1-R22,ASI-048,ASIENTO DE DM150,entrada,1,Hoja 1 ,22,U
Diciembre TOTAL,H1-R23,ASI-029,ASIENTO DE DM200,entrada,1,Hoja 1 ,23,U
Diciembre TOTAL,H1-R24,37-5054-001,ASIENTO DE RT180 FT200 FT250,entrada,1,Hoja 1 ,24,U
Diciembre TOTAL,H1-R25,ASI3-218,ASIENTO DE D125 D150LT,entrada,1,Hoja 1 ,25,U
Diciembre TOTAL,H1-R26,ASI3-280,ASIENTO DE VITALIA 150 2020 A 2024,entrada,1,Hoja 1 ,26,U
Diciembre TOTAL,H1-R27,ASI-M00100,ASIENTO DE DS150,entrada,2,Hoja 1 ,27,U
Diciembre TOTAL,H1-R28,ASI-FT150-09,ASIENTO DE FT150,entrada,1,Hoja 1 ,28,U
Diciembre TOTAL,H1-R29,ASI-GS0150,ASIENTO DE GS 150 Y GTS175,entrada,1,Hoja 1 ,29,U
Diciembre 27,H1-R34,ASI-005,ASIENTO DE WS150,salida,1,Hoja 1 ,34,P
Diciembre TOTAL,H1-R35,ASI-WS0150,ASIENTO DE WS150,entrada,1,Hoja 1 ,35,U
Diciembre TOTAL,H1-R37,,BARDAHL LIMPIA PARABRISAS,entrada,9,Hoja 1 ,37,U
Diciembre TOTAL,H1-R38,ADA-AMO-01,ADAPTADOR DE AMORTIHUADOR DE DS,entrada,1,Hoja 1 ,38,U
Diciembre TOTAL,H1-R39,87535254 12320,ADITIVO 2 TIEMPOS BARDAL,entrada,103,Hoja 1 ,39,U
Diciembre TOTAL,H1-R40,A11051,ADITIVO BARDHAL (2),entrada,2,Hoja 1 ,40,U
Diciembre TOTAL,H1-R41,A11041,ADITIVO BARDHAL (I),entrada,6,Hoja 1 ,41,U
Diciembre TOTAL,H1-R42,A20012,ADITIVO BITAL BARDHAL,entrada,5,Hoja 1 ,42,U
Diciembre TOTAL,H1-R43,A12073,ADITIVO PARA GASOLINA TOPOI,entrada,105,Hoja 1 ,43,U
Diciembre TOTAL,H1-R45,WB-50,AFLOJATODO WB-50,entrada,10,Hoja 1 ,45,U
Diciembre TOTAL,H1-R46,WT-240/13469,AFLOJATODO,entrada,4,Hoja 1 ,46,U
Diciembre TOTAL,H1-R47,WT-110/13468,AFLOJATODO CHICO,entrada,3,Hoja 1 ,47,U
Diciembre TOTAL,H1-R48,A2872,AJUSTADOR DE RAYOS,entrada,5,Hoja 1 ,48,U
Diciembre TOTAL,H1-R49,ALE-110,AJUSTADOR DE RAYOS,entrada,1,Hoja 1 ,49,U
Diciembre TOTAL,H1-R50,ACC-004,CUERNOS DECORATIVOS,entrada,3,Hoja 1 ,50,U
Diciembre TOTAL,H1-R51,A14300 PIÑA,AGUA PARA BATERIA BARDAL,entrada,112,Hoja 1 ,51,U
Diciembre 26,H1-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,11,Hoja 1 ,53,N
Diciembre 27,H1-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,7,Hoja 1 ,53,P
Diciembre 28,H1-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,7,Hoja 1 ,53,R
Diciembre 1,H1-R53,A4T,AKRON 4 TIEMPOS  20W50,salida,5,Hoja 1 ,53,T
Diciembre TOTAL,H1-R53,A4T,AKRON 4 TIEMPOS  20W50,entrada,287,Hoja 1 ,53,U
Diciembre TOTAL,H1-R54,,AKRON 25W60 PARA TRIMOTO,entrada,16,Hoja 1 ,54,U
Diciembre TOTAL,H1-R55,,AKRON 80W90,entrada,2,Hoja 1 ,55,U
Diciembre TOTAL,H1-R56,,AKRON ATF DE LITRO,entrada,27,Hoja 1 ,56,U
Diciembre TOTAL,H1-R57,,AKRON MEXICANA LUBRICANTE SAE50,entrada,18,Hoja 1 ,57,U
Diciembre TOTAL,H1-R58,,AKRON PREMIUM 20W50,entrada,10,Hoja 1 ,58,U
Diciembre TOTAL,H1-R59,,AKRON SAE 25W-50  ALTO KILOMETRAJE,entrada,2,Hoja 1 ,59,U
Diciembre TOTAL,H1-R60,,AKRON SAE 60,entrada,5,Hoja 1 ,60,U
Diciembre TOTAL,H1-R61,,AKRON SINTETICO 5W-30,entrada,10,Hoja 1 ,61,U
Diciembre TOTAL,H1-R62,ALA-LB002,INMOVILIZADOR PARA MOTOS,entrada,4,Hoja 1 ,62,U
Diciembre TOTAL,H1-R63,RS-GRL-12037,ALARMA CON SENSOR DE PRESENCIA Y ENCE. A DISTANCIA,entrada,1,Hoja 1 ,63,U
Diciembre TOTAL,H1-R65,ALA-002,ALARMAS PARA MOTOS CON EUIPO DE SONIDO,entrada,2,Hoja 1 ,65,U
Diciembre TOTAL,H1-R66,ALA-001,ALARMAS PARA MOTOS,entrada,1,Hoja 1 ,66,U
Diciembre TOTAL,H1-R67,EALA-001,ALARMA PARA BICLETA ELECTRICA,entrada,1,Hoja 1 ,67,U
Diciembre TOTAL,H1-R68,REM949,ALARMAS PARA MOTOS CON EUIPO DE SONIDO,entrada,1,Hoja 1 ,68,U
Diciembre TOTAL,H1-R69,A1257,ALARMAS PARA MOTOS,entrada,1,Hoja 1 ,69,U
Diciembre TOTAL,H1-R70,BAJ-065,AMORTIHUADORES DELANTEROS PARA BOXER-150,entrada,2,Hoja 1 ,70,U
Diciembre TOTAL,H1-R71,REM3941,AMORTIHUADORES DELANTEROS NS200,entrada,1,Hoja 1 ,71,U
Diciembre TOTAL,H1-R72,BAJ-069,AMORTIHUADORES DELANTEROS DE FT250GTS  GPS,entrada,1,Hoja 1 ,72,U
Diciembre TOTAL,H1-R74,BAJ-059,AMORTIHUADORES DELANTEROS  de RT200,entrada,1,Hoja 1 ,74,U
Diciembre TOTAL,H1-R75,BAJ-056,AMORTIHUADORES DELANTEROS DE VITALIA 150,entrada,1,Hoja 1 ,75,U
Diciembre TOTAL,H1-R78,BAJ-054,AMORTIHUADORES DELANTEROS PARA BIT-150,entrada,1,Hoja 1 ,78,U
Diciembre TOTAL,H1-R79,BAJ-042,AMORTIHUADORES DELANTEROS PARA WS150 SPORT WS175,entrada,1,Hoja 1 ,79,U
Diciembre TOTAL,H1-R80,AMO-320MM AMO-340MM,AMORTIHUADORES UNUVERSALES DE NITROJENO O GAS,entrada,1,Hoja 1 ,80,U
Diciembre TOTAL,H1-R81,BAJ-032,AMORTIHUADORES DELANTEROS DE DM150 2014  2019,entrada,1,Hoja 1 ,81,U
Diciembre TOTAL,H1-R82,BAJ-030,AMORTIHUADORES DELANTEROS DE DM150 ROJA,entrada,1,Hoja 1 ,82,U
Diciembre TOTAL,H1-R84,BAJ-007,AMORTIHUADORES DELANTEROS DE DM200 Y RISKI 200,entrada,1,Hoja 1 ,84,U
Diciembre TOTAL,H1-R85,BAJ-003,AMORTIHUADORES DELANTEROS DE AT110,entrada,1,Hoja 1 ,85,U
Diciembre TOTAL,H1-R86,,AMORTIHUADOR TRASERO FT 110,entrada,3,Hoja 1 ,86,U
Diciembre TOTAL,H1-R87,BAJ-039,AMORTIHUADORES DELANTEROS DE TC200  Y  TC250,entrada,1,Hoja 1 ,87,U
Diciembre TOTAL,H1-R88,,AMORTIHUADORES DELANTEROS DE TC200,entrada,1,Hoja 1 ,88,U
Diciembre TOTAL,H1-R89,BAJ-070,AMORTIHUADOR DELANTERO DE TC300,entrada,1,Hoja 1 ,89,U
Diciembre 27,H1-R90,BAJ-001,AMORTIHUADOR DELANTERO DE 150Z Y 170Z DERECHO Y IZQUIERDO,salida,1,Hoja 1 ,90,P
Diciembre TOTAL,H1-R91,BAJ-067,AMORTIHUADORES DELANTEROS DE 280-Z,entrada,1,Hoja 1 ,91,U
Diciembre TOTAL,H1-R92,,AMORTIHUADORES DELANTEROS DE CARGO125,entrada,1,Hoja 1 ,92,U
Diciembre TOTAL,H1-R93,EBAJ-002,AMORTIGUADOR DELANTERO DE BICICLETA ELECTRICA,entrada,1,Hoja 1 ,93,U
Diciembre TOTAL,H1-R94,BAJ-002,AMORTIHUADOR DELANTERO DE 250Z DERECHO Y IZQUIERDO,entrada,3,Hoja 1 ,94,U
Diciembre TOTAL,H1-R95,BAR-028,AMORTIHUADOR DELANTERO DE FT110 IZQUIERDO,entrada,1,Hoja 1 ,95,U
Diciembre TOTAL,H1-R96,BAR-027,AMORTIHUADOR DELANTERO DE FT110DERECHO,entrada,1,Hoja 1 ,96,U
Diciembre TOTAL,H1-R97,AMCN119,AMORTIHUADORES DELANTEROS DE CARGO 150,entrada,1,Hoja 1 ,97,U
Diciembre TOTAL,H1-R98,REM2625,AMORTIHUADOR DELANTERO DE CARGO 125,entrada,2,Hoja 1 ,98,U
Diciembre TOTAL,H1-R99,746RPF-AMO-1,AMORTIHUADOR DELANTEROS DE CARGO 150,entrada,1,Hoja 1 ,99,U
Diciembre TOTAL,H1-R100,BAR-021,AMORTIHUADOR DELANTERO IZQUIERDO ST90,entrada,1,Hoja 1 ,100,U
Diciembre TOTAL,H1-R101,REM2139,AMORTIHUADOR PARA HONDA BROSS,entrada,1,Hoja 1 ,101,U
Diciembre TOTAL,H1-R103,AMO-1400-0321,AMORTIHUADOR PARA VENTO CYCLONE 200,entrada,1,Hoja 1 ,103,U
Diciembre TOTAL,H1-R104,AMO-1400-0361,AMORTIHUADOR PARA VENTO STORM 250,entrada,1,Hoja 1 ,104,U
Diciembre TOTAL,H1-R106,AMO-039,AMORTIHUADOR TRACERO DE NS200,entrada,1,Hoja 1 ,106,U
Diciembre TOTAL,H1-R107,AMO-030,AMORTIHUADOR TRACERO DE 125Z,entrada,1,Hoja 1 ,107,U
Diciembre TOTAL,H1-R109,AMO-019,AMORTIHUADOR TRACERO DE 150Z,entrada,1,Hoja 1 ,109,U
Diciembre TOTAL,H1-R110,REM3512,AMORTIHUADOR TRACERO DE 150Z MONOSHOCK,entrada,1,Hoja 1 ,110,U
Diciembre TOTAL,H1-R112,AMO-022,AMORTIHUADOR TRACERO DE DM150,entrada,1,Hoja 1 ,112,U
Diciembre TOTAL,H1-R113,AMO-097,AMORTIHUADOR TRACERO DE DM200 AZUL,entrada,1,Hoja 1 ,113,U
Diciembre TOTAL,H1-R114,AMO-028,AMORTIHUADOR TRACERO DE DM200,entrada,1,Hoja 1 ,114,U
Diciembre TOTAL,H1-R116,AMO-042,AMORTIHUADOR TRACERO DE CROSSMAX-250 NEGRO,entrada,1,Hoja 1 ,116,U
Diciembre TOTAL,H1-R117,AMO-FZ16-AM,AMORTIHUADOR TRACERO DE FZ16,entrada,1,Hoja 1 ,117,U
Diciembre TOTAL,H1-R118,AMO-021,AMORTIHUADOR TRACERO DE RC150GT,entrada,1,Hoja 1 ,118,U
Diciembre TOTAL,H1-R120,AMO-023,AMORTIHUADOR TRACERO AT110 X-110 AT110RT,entrada,1,Hoja 1 ,120,U
Diciembre TOTAL,H1-R121,AMO-025,AMORTIHUADOR TRASERO AT110 SPORT,entrada,1,Hoja 1 ,121,U
Diciembre TOTAL,H1-R122,AMO-095,AMORTIHUADOR TRACERO DE GTS 300,entrada,1,Hoja 1 ,122,U
Diciembre TOTAL,H1-R123,AMCN114,AMORTIHUADOR TRACERO DE DIO 110,entrada,1,Hoja 1 ,123,U
Diciembre TOTAL,H1-R124,144-260001,AMORTIHUADOR TRACERO DE NAVI-110,entrada,1,Hoja 1 ,124,U
Diciembre TOTAL,H1-R125,AMO-101,AMORTIHUADOR TRACERO DE NAVI-110 ROJO,entrada,1,Hoja 1 ,125,U
Diciembre TOTAL,H1-R126,AMO-093,AMORTIHUADOR TRACERO DE VN OVNI-170  AMARILLO,entrada,1,Hoja 1 ,126,U
Diciembre TOTAL,H1-R127,AMO-094,AMORTIHUADOR TRACERO DE VN ATOM-150 ROJO,entrada,1,Hoja 1 ,127,U
Diciembre TOTAL,H1-R128,AMO-092,AMORTIHUADOR TRACERO DE BIT-150,entrada,1,Hoja 1 ,128,U
Diciembre TOTAL,H1-R129,AMO-071,AMORTIHUADOR TRACERO DE VITALIA 125,entrada,1,Hoja 1 ,129,U
Diciembre TOTAL,H1-R130,AMO-070,AMORTIHUADOR TRACERO DE VITALIA 150,entrada,1,Hoja 1 ,130,U
Diciembre TOTAL,H1-R131,AMO-009,AMORTIHUADOR TRACERO DE WS150 CON HORQUILLA,entrada,1,Hoja 1 ,131,U
Diciembre 1,H1-R133,AMO-MWS150-NG,AMORTIHUADOR TRACERO DE WS150,salida,1,Hoja 1 ,133,T
Diciembre TOTAL,H1-R133,AMO-MWS150-NG,AMORTIHUADOR TRACERO DE WS150,entrada,1,Hoja 1 ,133,U
Diciembre TOTAL,H1-R134,746RPF-AMO,AMORTIHUADORES TRACEROS DE CARGO150,entrada,1,Hoja 1 ,134,U
Diciembre TOTAL,H1-R135,AMO-072,AMORTIHUADOR TRACERO DE VENTO NITROX-250,entrada,1,Hoja 1 ,135,U
Diciembre TOTAL,H1-R136,AMO-078,AMORTIHUADOR TRACERO DE ROCKEMAN-250 Y TORNADO 250,entrada,1,Hoja 1 ,136,U
Diciembre TOTAL,H1-R137,AMO-016/3136RPF-AMP,AMORTIHUADOR TRACERO DE ROCKEMAN-250 Y TORNADO 250,entrada,1,Hoja 1 ,137,U
Diciembre TOTAL,H1-R138,AMO-062,AMORTIHUADOR TRACERIO DE VORTX-200,entrada,1,Hoja 1 ,138,U
Diciembre TOTAL,H1-R139,AMO-063,AMORTIHUADOR TRACERO DE V-200,entrada,1,Hoja 1 ,139,U
Diciembre TOTAL,H1-R140,AMO-018,AMORTIHUADOR TRACERO DE TC200 TC250 Y RC200,entrada,2,Hoja 1 ,140,U
Diciembre TOTAL,H1-R141,AMO-061,AMORTIHUADOR TRACERO FT200TS AMARILLOS,entrada,1,Hoja 1 ,141,U
Diciembre TOTAL,H1-R142,AMO-017,AMORTIHUADOR TRASERO FT180 Y FT200 Y FT250,entrada,4,Hoja 1 ,142,U
Diciembre TOTAL,H1-R143,AMO-102,AMORTIHUADOR TRACERO FT-250GTS  GPS,entrada,1,Hoja 1 ,143,U
Diciembre TOTAL,H1-R145,AMO-080,AMORTIHUADOR TRACERO ROJO PARA RT250,entrada,1,Hoja 1 ,145,U
Diciembre TOTAL,H1-R147,BAJ-029,AMORTIHUADORES DELANTEROS DE FT150G,entrada,1,Hoja 1 ,147,U
Diciembre TOTAL,H1-R148,BAJ-011,AMORTIHUADORES DELANTEROS DE FT150 GRIS,entrada,1,Hoja 1 ,148,U
Diciembre 27,H1-R149,BAJ-012,"AMORTIHUADORES DELANTEROS DE FT150 NEGROS,FT200 2024",salida,1,Hoja 1 ,149,P
Diciembre TOTAL,H1-R150,REM1302,AMORTIHUADORES DE HONDA CARGO 125,entrada,1,Hoja 1 ,150,U
Diciembre TOTAL,H1-R151,74-600,AMORTIHUADORES DELANTEROS DE YBR125 DE DISCO,entrada,1,Hoja 1 ,151,U
Diciembre TOTAL,H1-R152,794RPF-AMO,AMORTIHUADORES DELANTEROS DE YBR125 DE TAMBOR,entrada,1,Hoja 1 ,152,U
Diciembre TOTAL,H1-R153,BAJ-006,AMORTIHUADORES DELANTEROS DM150,entrada,1,Hoja 1 ,153,U
Diciembre TOTAL,H1-R154,BAJ-020,AMORTIHUADORES DELANTEROS DE 125Z,entrada,1,Hoja 1 ,154,U
Diciembre TOTAL,H1-R155,BAJ-013,AMORTIHUADORES DELANTEROS DE FT180 FT200 Y FT250,entrada,1,Hoja 1 ,155,U
Diciembre TOTAL,H1-R157,AMO-M007,AMORTIHUADORES DELANTEROS DE MOTONETA CS125,entrada,1,Hoja 1 ,157,U
Diciembre TOTAL,H1-R158,BAJ-055,AMORTIHUADORES DELANTEROS DE MOTONETA DS,entrada,1,Hoja 1 ,158,U
Diciembre TOTAL,H1-R159,BAS7-247,AMORTIHUADORES DELANTEROS DE DS150G  X150G,entrada,1,Hoja 1 ,159,U
Diciembre TOTAL,H1-R160,BAJ-008 DISCO,AMORTIHUADORES DELANTEROS DE DISCO MOTONETA DS,entrada,1,Hoja 1 ,160,U
Diciembre TOTAL,H1-R161,BAJ-034,AMORTIHUADORES DELANTEROS DE NS200,entrada,1,Hoja 1 ,161,U
Diciembre TOTAL,H1-R163,BAJ-028,AMORTIHUADORES DELANTEROS DE RC150  DE DISCO,entrada,1,Hoja 1 ,163,U
Diciembre TOTAL,H1-R164,BAS7-272,AMORTIHUADORES DELANTEROS DE RC150 Y RC200,entrada,3,Hoja 1 ,164,U
Diciembre TOTAL,H1-R165,BAJ-027,AMORTIHUADORES DELANTEROS DE RC150GT Y RC200,entrada,1,Hoja 1 ,165,U
Diciembre TOTAL,H1-R166,BAJ-040,AMORTIHUADORES DELANTEROS DE ROCKETMAN 250,entrada,1,Hoja 1 ,166,U
Diciembre TOTAL,H1-R167,BAJ-014,AMORTIHUADORES DELANTEROS DE RC150,entrada,1,Hoja 1 ,167,U
Diciembre TOTAL,H1-R168,BAJ-047,AMORTIHUADORES DELANTEROS DE D-125LT,entrada,1,Hoja 1 ,168,U
Diciembre 27,H1-R169,BAJ-046,AMORTIHUADORES DELANTEROS DE D-125 Y X-125,salida,1,Hoja 1 ,169,P
Diciembre TOTAL,H1-R169,BAJ-046,AMORTIHUADORES DELANTEROS DE D-125 Y X-125,entrada,1,Hoja 1 ,169,U
Diciembre TOTAL,H1-R170,BAJ-049,AMORTIHUADORES DELANTEROS DE VENTO STROM,entrada,1,Hoja 1 ,170,U
Diciembre TOTAL,H1-R171,BAJ-050,AMORTIHUADORES DELANTEROS DE DM250,entrada,1,Hoja 1 ,171,U
Diciembre TOTAL,H1-R172,BAJ-052,AMORTIHUADORES DELANTEROS DE VORTX 300,entrada,1,Hoja 1 ,172,U
Diciembre TOTAL,H1-R173,BAJ-061,AMORTIHUADORES DELANTEROS DE  DM300,entrada,1,Hoja 1 ,173,U
Diciembre TOTAL,H1-R174,CORPBSUP-250,AMORTIGUADORES DELANTEROS DE,entrada,2,Hoja 1 ,174,U
Diciembre TOTAL,H1-R175,BAJ-017,AMORTIHUADORES DELANTEROS  W-150  Y XW150 TAMBOR,entrada,1,Hoja 1 ,175,U
Diciembre TOTAL,H1-R176,REM2792,AMORTIHUADORES DELANTEROS DE WS150 DE TAMBOR,entrada,1,Hoja 1 ,176,U
Diciembre TOTAL,H1-R178,REM2598,AMORTIHUADORES DELANTEROS DE WS150 DE DISCO,entrada,1,Hoja 1 ,178,U
Diciembre TOTAL,H1-R179,CORPBSUP-250,AMORTIHUADORES DELANTEROS DE D-150 X150,entrada,1,Hoja 1 ,179,U
Diciembre TOTAL,H1-R180,BAS7-250,AMORTIHUADORES DELANTEROS DE D-150 X150,entrada,1,Hoja 1 ,180,U
Diciembre TOTAL,H1-R182,BAS7-217,AMORTIHUADORES DELANTEROS DE VORT-X 200,entrada,1,Hoja 1 ,182,U
Diciembre TOTAL,H1-R183,BAS7-303,AMORTIHUADORES DELANTEROS DE VORT-X 250,entrada,2,Hoja 1 ,183,U
Diciembre TOTAL,H1-R184,BAJ-045,AMORTIHUADORES DELANTEROS DE VENTO NITROX -200RZ,entrada,1,Hoja 1 ,184,U
Diciembre TOTAL,H1-R185,BAJ-044,AMORTIHUADORES DELANTEROS DE CROXXMAX PRO-250,entrada,1,Hoja 1 ,185,U
Diciembre TOTAL,H1-R186,BAJ-043,AMORTIHUADORES DELANTEROS DE VENTO NITROX 250,entrada,1,Hoja 1 ,186,U
Diciembre TOTAL,H1-R187,AMO-MT04,AMORTIHUADORES DELANTEROS DE FT125 DT125 YDT150,entrada,1,Hoja 1 ,187,U
Diciembre TOTAL,H1-R189,BAS7-294,AMORTIHUADORES DELANTEROS DE BIT150,entrada,1,Hoja 1 ,189,U
Diciembre TOTAL,H1-R190,BAR-003,AMORTIHUADORES DELANTEROS DE CS125 DS125 CITY125,entrada,1,Hoja 1 ,190,U
Diciembre 23,H1-R191,AMO-001/263RTF-25N,AMORTIHUADORES TRACEROS  MOTONETA DS150 DS125,entrada,2,Hoja 1 ,191,G
Diciembre TOTAL,H1-R191,AMO-001/263RTF-25N,AMORTIHUADORES TRACEROS  MOTONETA DS150 DS125,entrada,2,Hoja 1 ,191,U
Diciembre TOTAL,H1-R192,AMO-MGS150-CR,AMORTIHUADORES TRACEROS  MOTONETA DS150 DS125 CROMADOS,entrada,2,Hoja 1 ,192,U
Diciembre TOTAL,H1-R195,52-5016,AMORTIHUADORES TRACEROS DE ST70,entrada,2,Hoja 1 ,195,U
Diciembre TOTAL,H1-R196,AMCN15,AMORTIHUADORES TRACEROS DE EN125,entrada,1,Hoja 1 ,196,U
Diciembre TOTAL,H1-R197,AMCN94,AMORTIHUADORES TRACEROS DE GN125,entrada,1,Hoja 1 ,197,U
Diciembre TOTAL,H1-R198,AMO-WO019,AMORTIHUADORES TRACERO DE FT125 CROMADO,entrada,2,Hoja 1 ,198,U
Diciembre 23,H1-R199,265RPF,AMORTIHUADORES TRACEROS DE FT125,entrada,2,Hoja 1 ,199,G
Diciembre TOTAL,H1-R199,265RPF,AMORTIHUADORES TRACEROS DE FT125,entrada,3,Hoja 1 ,199,U
Diciembre TOTAL,H1-R200,AMO-MT0125-CR,AMORTIGUADORES TRACEROS DE FT125,entrada,1,Hoja 1 ,200,U
Diciembre TOTAL,H1-R202,AMO7-037,AMORTIHUADORES TRACEROS DE DT125,entrada,1,Hoja 1 ,202,U
Diciembre TOTAL,H1-R203,AMO7-017,AMORTIHUADORES TRACEROS DE125FL,entrada,1,Hoja 1 ,203,U
Diciembre TOTAL,H1-R204,AMO-027,AMORTIHUADORES TRASEROS DE CYCLONE 200,entrada,1,Hoja 1 ,204,U
Diciembre TOTAL,H1-R205,AMO7-293,AMORTIHUADORES TRACEROS RC 200 RC150,entrada,1,Hoja 1 ,205,U
Diciembre TOTAL,H1-R208,AMO-MT0150-NG,AMORTIHUADORES TRACERO DE FT150,entrada,2,Hoja 1 ,208,U
Diciembre TOTAL,H1-R209,AMO-001,AMORTIHUADOR TRACERO DE FT150 FT150GT DT150,entrada,1,Hoja 1 ,209,U
Diciembre TOTAL,H1-R210,AMO-008,AMORTIHUADORES TRACERO DE DT125 DT150,entrada,1,Hoja 1 ,210,U
Diciembre TOTAL,H1-R211,AMO-012,AMORTIHUADORES TRACEROS ST90,entrada,1,Hoja 1 ,211,U
Diciembre TOTAL,H1-R212,AMCN14,AMORTIHUADORES TRACEROS DE DS125,entrada,1,Hoja 1 ,212,U
Diciembre TOTAL,H1-R213,AMO-041,AMORTIHUADORES TRACEROS DE D-125 XC125 D-150,entrada,1,Hoja 1 ,213,U
Diciembre TOTAL,H1-R215,ANCN53,ANILLOS DE SUZUKI EN125,entrada,1,Hoja 1 ,215,U
Diciembre TOTAL,H1-R216,ANCN61,ANILLOS DE PULSAR NS200,entrada,2,Hoja 1 ,216,U
Diciembre TOTAL,H1-R217,ANCN65,ANILLOS DE PULSAR 180 STD,entrada,2,Hoja 1 ,217,U
Diciembre TOTAL,H1-R218,ANCN69,ANILLOS DE DISCOVERY 135 STD,entrada,3,Hoja 1 ,218,U
